2026-08-08 02:23:52,160 | INFO | SIGNAL | direction=BUY | reason=['bullish_bos', 'bullish_fvg', 'bullish_order_block']
2026-08-08 02:25:12,352 | INFO | SIGNAL | direction=BUY | reason=['bullish_bos', 'bullish_fvg', 'bullish_order_block']
2026-08-08 17:01:05,026 | INFO | SIGNAL | direction=BUY | reason=['bullish_bos', 'bullish_fvg']
2026-08-08 17:45:20,916 | INFO | SIGNAL | direction=None | reason=['bullish_bos']
2026-08-08 17:50:23,488 | INFO | SIGNAL | direction=None | reason=['bullish_bos']
2026-08-08 17:52:15,348 | INFO | SIGNAL | direction=None | reason=['bullish_bos']
2026-08-08 17:54:26,069 | INFO | SIGNAL | direction=None | reason=['bullish_bos']
2026-08-08 17:56:11,822 | INFO | SIGNAL | direction=None | reason=['bullish_bos', 'cme_1sigma_lower']
2026-08-08 18:14:51,040 | INFO | SIGNAL | direction=None | reason=['bullish_bos']
2026-08-08 18:23:05,714 | INFO | SIGNAL | direction=None | reason=['bullish_bos', 'buy_side_sweep', 'cme_1sigma_lower']
2026-08-08 18:26:50,167 | INFO | SIGNAL | direction=None | reason=['bullish_bos', 'bullish_fvg']
2026-08-08 18:28:41,636 | INFO | SIGNAL | direction=BUY | reason=['bullish_bos', 'bullish_fvg', 'buy_side_sweep', 'cme_1sigma_lower']
2026-08-08 18:29:42,767 | INFO | SIGNAL | direction=None | reason=['bullish_bos', 'bullish_fvg', 'buy_side_sweep', 'cme_1sigma_upper']
2026-08-08 18:32:15,055 | INFO | SIGNAL | direction=SELL | reason=['bearish_bos', 'bearish_fvg', 'cme_1sigma_upper']
